WardCode,WardName
KN0406,Kano_Bebeji_Gargai
KN0407,Kano_Bebeji_Gwarmai
KN0408,Kano_Bebeji_Kofa
KN0409,Kano_Bebeji_Kuki
KN0410,Kano_Bebeji_Rahama
KN0411,Kano_Bebeji_Ranka
KN0412,Kano_Bebeji_Rantan
KN0413,Kano_Bebeji_Tariwa
KN0414,Kano_Bebeji_Wak
KN0501,Kano_Bichi_Badume
KN0502,Kano_Bichi_Bichi
KN0503,Kano_Bichi_Danzabuwa
KN0504,Kano_Bichi_Fagolo
KN0505,Kano_Bichi_Kau-Kau
KN0506,Kano_Bichi_Kwamarawa
KN0507,Kano_Bichi_Kyalli
KN0508,Kano_Bichi_Muntsira
KN0509,Kano_Bichi_Saye
KN0510,Kano_Bichi_Waire
KN0511,Kano_Bichi_Yallami
KN0601,Kano_Bunkure_Barkum
KN0602,Kano_Bunkure_Bono
KN0603,Kano_Bunkure_Bunkure
KN0604,Kano_Bunkure_Chirin
KN0605,Kano_Bunkure_Gafan
KN0606,Kano_Bunkure_Gurjiya
KN0607,Kano_Bunkure_Gwamma
KN0608,Kano_Bunkure_Kulluwa
KN0609,Kano_Bunkure_Kumurya
KN0610,Kano_Bunkure_Sanda
KN0801,Kano_Dambatta_Ajumawa
KN0802,Kano_Dambatta_Danbatta 1
KN0803,Kano_Dambatta_Danbatta 2
KN0804,Kano_Dambatta_Fagwalawa
KN0805,Kano_Dambatta_Goron Maje
KN0806,Kano_Dambatta_Gwanda
KN0807,Kano_Dambatta_Gwarabtawa
KN0808,Kano_Dambatta_Kore
KN0809,Kano_Dambatta_Saidawa
